# dx,dy
1800,-900
1700,-900
1700,-850
950,-950
950,-2000
950,-1050
900,-1050
900,-2000
850,-1050
-250,300
-250,350
0,-300
400,0
550,0
450,-200
1200,-150
-1150,-450
1050,-200
1200,-250
-750,1000
-700,1000
-650,1000
-650,1050
-650,1100
-600,1100
-600,1050
-550,1100
-550,1150
-500,1150
-500,1100
-550,1050
-700,950
-700,1050
-950,550
-950,600
-950,650
-950,700
-950,750
-950,800
-900,800
-900,750
-1000,700
-1000,650
-1000,600
-1000,550
-1050,550
-1050,500
-1000,500
-1100,500
-1100,450
-1050,450
-850,300
-800,300
-800,250
-750,250
-750,200
-700,200
-650,200
-650,150
-650,100
-650,50
-1100,100
-1100,50
-1150,50
-1150,0
-1200,0
-1150,-50
-1200,-50
-1250,-50
-1250,-100
-1300,-100
-1300,-150
-1300,-200
-1300,-250
-1350,-250
-1400,-250
-1400,-300
-1550,-700
-1550,-650
-1600,-650
-1600,-600
-1600,-550
-1550,-550
-1500,-550
-1500,-500
-1500,-450
-1550,-450
-1450,-450
-1600,-550
-1600,-400
-1550,-400
-800,950
-1200,50
-1250,50
-1300,50
-1300,100
-1350,100
-1350,150
-150,550
-250,250
-600,-100
-300,-750
-250,-750
-200,-750
-250,-700
-250,-650
-500,-550
-550,-550
-600,-550
-600,-500
-50,600
-250,100
-950,-550
-900,-550
-900,-500
-850,-500
-850,-450
-800,-450
-800,-400
-850,-350
-850,-300
-800,-300
-800,-350
-300,-700
-50,-800
-50,-850
-100,-850
-50,-900
-500,-500
-450,-500
-400,-600
-550,-500
-750,-850
-750,-800
-800,-800
-850,-800
-900,-800
-800,-850
-300,-800
-300,-850
0,-900
-800,1000
-850,1000
-850,950
-850,900
-850,850
-900,850
-1050,700
-1100,700
-1100,650
-1050,400
-1050,350
-1050,300
-1000,300
-1000,250
1400,-300
-950,250
-900,250
-900,300
-600,150
-550,150
-500,150
-450,150
-450,200
-750,150
-750,100
-800,100
-850,100
-850,50
-1350,-200
-1300,-300
-1350,-400
-1350,-450
-1400,-450
-1150,-850
-1150,-900
-1200,-900
-1250,-900
-1300,-900
-1350,-900
-1350,-950
-1300,-950
-1200,-850
-1400,-900
-1450,-900
-1500,-950
-1500,-900
-1450,-850
-1450,-800
-1450,-750
-1500,-750
-1550,-750
-250,-450
-250,-400
-300,-400
-300,-350
-350,-350
-300,-500
-250,-500
-700,-1050
-750,-1050
-750,-1100
-750,-1150
-750,-1200
-800,-1200
-800,-1250
-800,-1300
-850,-1300
-850,-1350
-900,-1400
-850,-1400
-100,-650
-100,-600
-100,-550
-100,-500
-50,-500
550,250
450,250
500,250
450,200
400,200
350,200
300,200
300,150
300,100
400,150
400,100
450,100
500,100
250,100
250,50
250,0
250,-50
200,-50
200,-100
200,-150
150,-150
150,-200
200,0
200,50
150,50
150,100
300,0
250,-150
250,-200
900,-50
900,0
900,50
950,50
950,100
1000,50
1100,-100
1050,-50
1100,-50
1250,-200
1800,-350
1800,-300
1750,-300
1700,-300
1650,-300
1650,-250
1600,-250
1550,-250
1500,-250
1500,-200
1450,-200
1400,-200
1400,-250
1350,-250
950,-1100
950,-1150
900,-1150
850,-1150
-1400,-350
-1400,-400
-350,-1300
-300,-1300
-250,-1300
-250,-1350
-200,-1350
-100,-1350
-150,-1350
-50,-1350
-50,-1400
0,-1400
50,-1400
350,-900
400,-900
400,-850
450,-850
500,-850
500,-800
500,-750
1350,-350
1350,-300
1400,-350
