# section,x,y,w,h,color
mapp,72,261,9,9,Color.WHITE
mapp,72,270,9,9,Color.WHITE
mapp,63,270,9,9,Color.WHITE
mapp,54,270,9,9,Color.WHITE
mapp,45,270,9,9,Color.WHITE
mapp,36,270,9,9,Color.WHITE
mapp,36,261,9,9,Color.WHITE
mapp,36,252,9,9,Color.WHITE
mapp,36,243,9,9,Color.WHITE
mapp,36,234,9,9,Color.WHITE
mapp,36,225,9,9,Color.WHITE
mapp,45,225,9,9,Color.WHITE
mapp,54,225,9,9,Color.WHITE
mapp,54,234,9,9,Color.WHITE
mapp,54,243,9,9,Color.WHITE
mapp,54,252,9,9,Color.WHITE
mapp,18,216,9,9,Color.WHITE
mapp,18,225,9,9,Color.WHITE
mapp,18,234,9,9,Color.WHITE
mapp,18,243,9,9,Color.WHITE
mapp,18,252,9,9,Color.WHITE
mapp,18,261,9,9,Color.WHITE
mapp,18,270,9,9,Color.WHITE
mapp,18,279,9,9,Color.WHITE
mapp,27,297,9,9,Color.WHITE
mapp,45,297,9,9,Color.WHITE
mapp,36,297,9,9,Color.WHITE
mapp,54,297,9,9,Color.WHITE
mapp,63,297,9,9,Color.WHITE
mapp,72,297,9,9,Color.WHITE
mapp,27,306,9,9,Color.WHITE
mapp,27,315,9,9,Color.WHITE
mapp,36,315,9,9,Color.WHITE
mapp,72,306,9,9,Color.WHITE
mapp,72,315,9,9,Color.WHITE
mapp,54,315,9,9,Color.WHITE
mapp,54,324,9,9,Color.WHITE
mapp,54,333,9,9,Color.WHITE
mapp,81,297,9,9,Color.WHITE
mapp,90,297,9,9,Color.WHITE
mapp,99,297,9,9,Color.WHITE
mapp,108,297,9,9,Color.WHITE
mapp,117,297,9,9,Color.WHITE
mapp,117,306,9,9,Color.WHITE
mapp,117,315,9,9,Color.WHITE
mapp,108,315,9,9,Color.WHITE
mapp,108,333,9,9,Color.WHITE
mapp,117,333,9,9,Color.WHITE
mapp,117,342,9,9,Color.WHITE
mapp,117,351,9,9,Color.WHITE
mapp,117,360,9,9,Color.WHITE
mapp,108,360,9,9,Color.WHITE
mapp,99,360,9,9,Color.WHITE
mapp,90,315,9,9,Color.WHITE
mapp,90,324,9,9,Color.WHITE
mapp,90,333,9,9,Color.WHITE
mapp,90,360,9,9,Color.WHITE
mapp,81,360,9,9,Color.WHITE
mapp,63,360,9,9,Color.WHITE
mapp,54,360,9,9,Color.WHITE
mapp,45,360,9,9,Color.WHITE
mapp,36,360,9,9,Color.WHITE
mapp,27,360,9,9,Color.WHITE
mapp,27,351,9,9,Color.WHITE
mapp,27,342,9,9,Color.WHITE
mapp,27,333,9,9,Color.WHITE
mapp,36,333,9,9,Color.WHITE
mapp,27,387,9,9,Color.WHITE
mapp,36,387,9,9,Color.WHITE
mapp,54,387,9,9,Color.WHITE
mapp,63,414,9,9,Color.WHITE
mapp,36,414,9,9,Color.WHITE
mapp,27,441,9,9,Color.WHITE
mapp,36,441,9,9,Color.WHITE
mapp,63,459,9,9,Color.WHITE
mapp,63,432,9,9,Color.WHITE
mapp,9,378,9,9,Color.WHITE
mapp,18,378,9,9,Color.WHITE
mapp,36,378,9,9,Color.WHITE
mapp,45,378,9,9,Color.WHITE
mapp,54,387,9,9,Color.WHITE
mapp,27,396,9,9,Color.WHITE
mapp,45,405,9,9,Color.WHITE
mapp,54,405,9,9,Color.WHITE
mapp,18,405,9,9,Color.WHITE
mapp,54,423,9,9,Color.WHITE
mapp,54,450,9,9,Color.WHITE
mapp,36,432,9,9,Color.WHITE
mapp,18,432,9,9,Color.WHITE
mapp,9,432,9,9,Color.WHITE
mapp,27,423,9,9,Color.WHITE
mapp,27,450,9,9,Color.WHITE
mapp,18,459,9,9,Color.WHITE
mapp,27,378,9,9,Color.WHITE
mapp,54,378,9,9,Color.WHITE
mapp,63,378,9,9,Color.WHITE
mapp,90,378,9,9,Color.WHITE
mapp,63,405,9,9,Color.WHITE
mapp,54,414,9,9,Color.WHITE
mapp,36,405,9,9,Color.WHITE
mapp,27,405,9,9,Color.WHITE
mapp,27,432,9,9,Color.WHITE
mapp,54,441,9,9,Color.WHITE
mapp,54,432,9,9,Color.WHITE
mapp,63,468,9,9,Color.WHITE
mapp,54,468,9,9,Color.WHITE
mapp,36,468,9,9,Color.WHITE
mapp,36,459,9,9,Color.WHITE
mapp,27,459,9,9,Color.WHITE
mapp,90,387,9,9,Color.WHITE
mapp,90,396,9,9,Color.WHITE
mapp,90,414,9,9,Color.WHITE
mapp,90,405,9,9,Color.WHITE
mapp,81,468,9,9,Color.WHITE
mapp,81,459,9,9,Color.WHITE
mapp,90,450,9,9,Color.WHITE
mapp,81,450,9,9,Color.WHITE
mapp,99,450,9,9,Color.WHITE
mapp,108,450,9,9,Color.WHITE
mapp,99,468,9,9,Color.WHITE
mapp,90,432,9,9,Color.WHITE
mapp,99,432,9,9,Color.WHITE
mapp,108,432,9,9,Color.WHITE
mapp,117,432,9,9,Color.WHITE
mapp,126,432,9,9,Color.WHITE
mapp,126,441,9,9,Color.WHITE
mapp,126,450,9,9,Color.WHITE
mapp,108,396,9,9,Color.WHITE
mapp,108,405,9,9,Color.WHITE
mapp,108,414,9,9,Color.WHITE
mapp,117,414,9,9,Color.WHITE
mapp,135,414,9,9,Color.WHITE
mapp,126,414,9,9,Color.WHITE
mapp,144,414,9,9,Color.WHITE
mapp,144,423,9,9,Color.WHITE
mapp,144,432,9,9,Color.WHITE
mapp,153,432,9,9,Color.WHITE
mapp,162,432,9,9,Color.WHITE
mapp,171,432,9,9,Color.WHITE
mapp,180,432,9,9,Color.WHITE
mapp,135,450,9,9,Color.WHITE
mapp,144,450,9,9,Color.WHITE
mapp,153,450,9,9,Color.WHITE
mapp,162,450,9,9,Color.WHITE
mapp,171,450,9,9,Color.WHITE
mapp,180,450,9,9,Color.WHITE
mapp,189,450,9,9,Color.WHITE
mapp,198,450,9,9,Color.WHITE
mapp,198,441,9,9,Color.WHITE
mapp,198,432,9,9,Color.WHITE
mapp,198,423,9,9,Color.WHITE
mapp,198,414,9,9,Color.WHITE
mapp,207,414,9,9,Color.WHITE
mapp,162,414,9,9,Color.WHITE
mapp,171,414,9,9,Color.WHITE
mapp,180,414,9,9,Color.WHITE
mapp,180,396,9,9,Color.WHITE
mapp,171,396,9,9,Color.WHITE
mapp,162,396,9,9,Color.WHITE
mapp,153,396,9,9,Color.WHITE
mapp,144,396,9,9,Color.WHITE
mapp,135,396,9,9,Color.WHITE
mapp,126,396,9,9,Color.WHITE
mapp,99,378,9,9,Color.WHITE
mapp,108,378,9,9,Color.WHITE
mapp,117,378,9,9,Color.WHITE
mapp,126,378,9,9,Color.WHITE
mapp,135,378,9,9,Color.WHITE
mapp,144,378,9,9,Color.WHITE
mapp,153,378,9,9,Color.WHITE
mapp,162,378,9,9,Color.WHITE
mapp,171,378,9,9,Color.WHITE
mapp,180,378,9,9,Color.WHITE
mapp,198,378,9,9,Color.WHITE
mapp,207,378,9,9,Color.WHITE
mapp,216,378,9,9,Color.WHITE
mapp,225,378,9,9,Color.WHITE
mapp,234,378,9,9,Color.WHITE
mapp,243,378,9,9,Color.WHITE
mapp,198,396,9,9,Color.WHITE
mapp,207,396,9,9,Color.WHITE
mapp,216,396,9,9,Color.WHITE
mapp,225,396,9,9,Color.WHITE
mapp,207,9,9,9,Color.WHITE
mapp,135,270,9,9,Color.WHITE
mapp,144,270,9,9,Color.WHITE
mapp,153,270,9,9,Color.WHITE
mapp,162,270,9,9,Color.WHITE
mapp,135,279,9,9,Color.WHITE
mapp,135,288,9,9,Color.WHITE
mapp,135,297,9,9,Color.WHITE
mapp,135,306,9,9,Color.WHITE
mapp,144,306,9,9,Color.WHITE
mapp,153,306,9,9,Color.WHITE
mapp,162,306,9,9,Color.WHITE
mapp,162,297,9,9,Color.WHITE
mapp,162,288,9,9,Color.WHITE
mapp,153,288,9,9,Color.WHITE
mapp,180,270,9,9,Color.WHITE
mapp,189,270,9,9,Color.WHITE
mapp,198,270,9,9,Color.WHITE
mapp,207,270,9,9,Color.WHITE
mapp,207,279,9,9,Color.WHITE
mapp,207,288,9,9,Color.WHITE
mapp,207,297,9,9,Color.WHITE
mapp,207,306,9,9,Color.WHITE
mapp,198,306,9,9,Color.WHITE
mapp,189,306,9,9,Color.WHITE
mapp,180,306,9,9,Color.WHITE
mapp,180,297,9,9,Color.WHITE
mapp,180,288,9,9,Color.WHITE
mapp,189,288,9,9,Color.WHITE
mapp,135,324,9,9,Color.WHITE
mapp,144,324,9,9,Color.WHITE
mapp,153,324,9,9,Color.WHITE
mapp,162,324,9,9,Color.WHITE
mapp,180,324,9,9,Color.WHITE
mapp,189,324,9,9,Color.WHITE
mapp,198,324,9,9,Color.WHITE
mapp,207,324,9,9,Color.WHITE
mapp,162,333,9,9,Color.WHITE
mapp,162,342,9,9,Color.WHITE
mapp,153,342,9,9,Color.WHITE
mapp,180,333,9,9,Color.WHITE
mapp,180,342,9,9,Color.WHITE
mapp,189,342,9,9,Color.WHITE
mapp,207,333,9,9,Color.WHITE
mapp,207,342,9,9,Color.WHITE
mapp,207,351,9,9,Color.WHITE
mapp,207,360,9,9,Color.WHITE
mapp,198,360,9,9,Color.WHITE
mapp,189,360,9,9,Color.WHITE
mapp,180,360,9,9,Color.WHITE
mapp,135,333,9,9,Color.WHITE
mapp,135,342,9,9,Color.WHITE
mapp,135,351,9,9,Color.WHITE
mapp,135,360,9,9,Color.WHITE
mapp,144,360,9,9,Color.WHITE
mapp,153,360,9,9,Color.WHITE
mapp,162,360,9,9,Color.WHITE
mapp,72,333,9,9,Color.WHITE
mapp,72,342,9,9,Color.WHITE
mapp,225,360,9,9,Color.WHITE
mapp,225,351,9,9,Color.WHITE
mapp,225,342,9,9,Color.WHITE
mapp,225,333,9,9,Color.WHITE
mapp,225,315,9,9,Color.WHITE
mapp,225,324,9,9,Color.WHITE
mapp,225,306,9,9,Color.WHITE
mapp,225,297,9,9,Color.WHITE
mapp,225,288,9,9,Color.WHITE
mapp,225,279,9,9,Color.WHITE
mapp,225,270,9,9,Color.WHITE
mapp,225,252,9,9,Color.WHITE
mapp,225,261,9,9,Color.WHITE
mapp,225,243,9,9,Color.WHITE
mapp,234,243,9,9,Color.WHITE
mapp,243,243,9,9,Color.WHITE
mapp,243,234,9,9,Color.WHITE
mapp,243,225,9,9,Color.WHITE
mapp,243,216,9,9,Color.WHITE
mapp,243,207,9,9,Color.WHITE
mapp,234,207,9,9,Color.WHITE
mapp,225,207,9,9,Color.WHITE
mapp,216,207,9,9,Color.WHITE
mapp,216,198,9,9,Color.WHITE
mapp,207,198,9,9,Color.WHITE
mapp,216,243,9,9,Color.WHITE
mapp,207,243,9,9,Color.WHITE
mapp,198,243,9,9,Color.WHITE
mapp,189,243,9,9,Color.WHITE
mapp,189,234,9,9,Color.WHITE
mapp,189,225,9,9,Color.WHITE
mapp,189,216,9,9,Color.WHITE
mapp,189,207,9,9,Color.WHITE
mapp,189,198,9,9,Color.WHITE
mapp,216,225,9,9,Color.WHITE
mapp,189,189,9,9,Color.WHITE
mapp,189,180,9,9,Color.WHITE
mapp,198,180,9,9,Color.WHITE
mapp,207,180,9,9,Color.WHITE
mapp,216,180,9,9,Color.WHITE
mapp,234,189,9,9,Color.WHITE
mapp,243,189,9,9,Color.WHITE
mapp,243,180,9,9,Color.WHITE
mapp,234,171,9,9,Color.WHITE
mapp,243,171,9,9,Color.WHITE
mapp,252,171,9,9,Color.WHITE
mapp,234,153,9,9,Color.WHITE
mapp,234,144,9,9,Color.WHITE
mapp,189,171,9,9,Color.WHITE
mapp,189,162,9,9,Color.WHITE
mapp,189,153,9,9,Color.WHITE
mapp,189,144,9,9,Color.WHITE
mapp,198,144,9,9,Color.WHITE
mapp,207,144,9,9,Color.WHITE
mapp,216,144,9,9,Color.WHITE
mapp,225,144,9,9,Color.WHITE
mapp,216,153,9,9,Color.WHITE
mapp,216,162,9,9,Color.WHITE
mapp,216,135,9,9,Color.WHITE
mapp,216,126,9,9,Color.WHITE
mapp,216,117,9,9,Color.WHITE
mapp,234,135,9,9,Color.WHITE
mapp,234,126,9,9,Color.WHITE
mapp,234,117,9,9,Color.WHITE
mapp,243,144,9,9,Color.WHITE
mapp,252,144,9,9,Color.WHITE
mapp,261,144,9,9,Color.WHITE
mapp,261,153,9,9,Color.WHITE
mapp,270,144,9,9,Color.WHITE
mapp,279,144,9,9,Color.WHITE
mapp,279,153,9,9,Color.WHITE
mapp,279,162,9,9,Color.WHITE
mapp,279,171,9,9,Color.WHITE
mapp,279,180,9,9,Color.WHITE
mapp,270,171,9,9,Color.WHITE
mapp,279,189,9,9,Color.WHITE
mapp,270,189,9,9,Color.WHITE
mapp,261,189,9,9,Color.WHITE
mapp,279,198,9,9,Color.WHITE
mapp,279,207,9,9,Color.WHITE
mapp,270,207,9,9,Color.WHITE
mapp,261,207,9,9,Color.WHITE
mapp,189,135,9,9,Color.WHITE
mapp,189,126,9,9,Color.WHITE
mapp,198,126,9,9,Color.WHITE
mapp,189,117,9,9,Color.WHITE
mapp,189,108,9,9,Color.WHITE
mapp,189,99,9,9,Color.WHITE
mapp,198,99,9,9,Color.WHITE
mapp,207,99,9,9,Color.WHITE
mapp,189,90,9,9,Color.WHITE
mapp,198,81,9,9,Color.WHITE
mapp,207,81,9,9,Color.WHITE
mapp,225,99,9,9,Color.WHITE
mapp,234,99,9,9,Color.WHITE
mapp,216,81,9,9,Color.WHITE
mapp,225,81,9,9,Color.WHITE
mapp,234,81,9,9,Color.WHITE
mapp,243,81,9,9,Color.WHITE
mapp,261,81,9,9,Color.WHITE
mapp,261,99,9,9,Color.WHITE
mapp,252,99,9,9,Color.WHITE
mapp,252,81,9,9,Color.WHITE
mapp,234,63,9,9,Color.WHITE
mapp,234,54,9,9,Color.WHITE
mapp,234,45,9,9,Color.WHITE
mapp,234,36,9,9,Color.WHITE
mapp,243,36,9,9,Color.WHITE
mapp,243,27,9,9,Color.WHITE
mapp,252,27,9,9,Color.WHITE
mapp,252,18,9,9,Color.WHITE
mapp,261,18,9,9,Color.WHITE
mapp,261,9,9,9,Color.WHITE
mapp,270,9,9,9,Color.WHITE
mapp,252,117,9,9,Color.WHITE
mapp,252,126,9,9,Color.WHITE
mapp,252,135,9,9,Color.WHITE
mapp,252,72,9,9,Color.WHITE
mapp,252,63,9,9,Color.WHITE
mapp,252,54,9,9,Color.WHITE
mapp,261,54,9,9,Color.WHITE
mapp,261,45,9,9,Color.WHITE
mapp,270,45,9,9,Color.WHITE
mapp,270,36,9,9,Color.WHITE
mapp,279,36,9,9,Color.WHITE
mapp,279,27,9,9,Color.WHITE
mapp,288,27,9,9,Color.WHITE
mapp,288,18,9,9,Color.WHITE
mapp,297,18,9,9,Color.WHITE
mapp,297,9,9,9,Color.WHITE
mapp,306,18,9,9,Color.WHITE
mapp,306,27,9,9,Color.WHITE
mapp,315,27,9,9,Color.WHITE
mapp,315,36,9,9,Color.WHITE
mapp,324,36,9,9,Color.WHITE
mapp,324,45,9,9,Color.WHITE
mapp,333,45,9,9,Color.WHITE
mapp,333,54,9,9,Color.WHITE
mapp,297,45,9,9,Color.WHITE
mapp,297,54,9,9,Color.WHITE
mapp,288,54,9,9,Color.WHITE
mapp,306,54,9,9,Color.WHITE
mapp,306,63,9,9,Color.WHITE
mapp,315,63,9,9,Color.WHITE
mapp,288,63,9,9,Color.WHITE
mapp,279,63,9,9,Color.WHITE
mapp,270,81,9,9,Color.WHITE
mapp,279,81,9,9,Color.WHITE
mapp,288,81,9,9,Color.WHITE
mapp,297,81,9,9,Color.WHITE
mapp,306,81,9,9,Color.WHITE
mapp,315,81,9,9,Color.WHITE
mapp,315,72,9,9,Color.WHITE
mapp,342,54,9,9,Color.WHITE
mapp,342,63,9,9,Color.WHITE
mapp,342,81,9,9,Color.WHITE
mapp,333,81,9,9,Color.WHITE
mapp,351,81,9,9,Color.WHITE
mapp,333,99,9,9,Color.WHITE
mapp,351,90,9,9,Color.WHITE
mapp,351,99,9,9,Color.WHITE
mapp,351,108,9,9,Color.WHITE
mapp,270,99,9,9,Color.WHITE
mapp,270,108,9,9,Color.WHITE
mapp,270,117,9,9,Color.WHITE
mapp,279,99,9,9,Color.WHITE
mapp,288,99,9,9,Color.WHITE
mapp,297,90,9,9,Color.WHITE
mapp,297,99,9,9,Color.WHITE
mapp,306,99,9,9,Color.WHITE
mapp,315,99,9,9,Color.WHITE
mapp,315,117,9,9,Color.WHITE
mapp,306,117,9,9,Color.WHITE
mapp,297,117,9,9,Color.WHITE
mapp,297,126,9,9,Color.WHITE
mapp,297,135,9,9,Color.WHITE
mapp,306,135,9,9,Color.WHITE
mapp,324,135,9,9,Color.WHITE
mapp,315,135,9,9,Color.WHITE
mapp,333,135,9,9,Color.WHITE
mapp,333,117,9,9,Color.WHITE
mapp,333,126,9,9,Color.WHITE
mapp,342,135,9,9,Color.WHITE
mapp,351,135,9,9,Color.WHITE
mapp,351,126,9,9,Color.WHITE
mapp,270,243,9,9,Color.WHITE
mapp,243,261,9,9,Color.WHITE
mapp,243,270,9,9,Color.WHITE
mapp,243,279,9,9,Color.WHITE
mapp,243,288,9,9,Color.WHITE
mapp,243,297,9,9,Color.WHITE
mapp,243,306,9,9,Color.WHITE
mapp,243,315,9,9,Color.WHITE
mapp,234,360,9,9,Color.WHITE
mapp,243,360,9,9,Color.WHITE
mapp,252,360,9,9,Color.WHITE
mapp,261,360,9,9,Color.WHITE
mapp,261,369,9,9,Color.WHITE
mapp,261,378,9,9,Color.WHITE
mapp,261,387,9,9,Color.WHITE
mapp,270,387,9,9,Color.WHITE
mapp,279,387,9,9,Color.WHITE
mapp,288,387,9,9,Color.WHITE
mapp,288,405,9,9,Color.WHITE
mapp,279,405,9,9,Color.WHITE
mapp,270,405,9,9,Color.WHITE
mapp,261,405,9,9,Color.WHITE
mapp,252,405,9,9,Color.WHITE
mapp,243,405,9,9,Color.WHITE
mapp,243,414,9,9,Color.WHITE
mapp,243,423,9,9,Color.WHITE
mapp,243,432,9,9,Color.WHITE
mapp,243,441,9,9,Color.WHITE
mapp,243,450,9,9,Color.WHITE
mapp,252,450,9,9,Color.WHITE
mapp,261,450,9,9,Color.WHITE
mapp,270,450,9,9,Color.WHITE
mapp,279,450,9,9,Color.WHITE
mapp,288,450,9,9,Color.WHITE
mapp,288,414,9,9,Color.WHITE
mapp,288,423,9,9,Color.WHITE
mapp,288,432,9,9,Color.WHITE
mapp,288,441,9,9,Color.WHITE
mapp,279,432,9,9,Color.WHITE
mapp,261,441,9,9,Color.WHITE
mapp,261,432,9,9,Color.WHITE
mapp,261,414,9,9,Color.WHITE
mapp,288,378,9,9,Color.WHITE
mapp,288,369,9,9,Color.WHITE
mapp,288,360,9,9,Color.WHITE
mapp,270,360,9,9,Color.WHITE
mapp,288,351,9,9,Color.WHITE
mapp,288,342,9,9,Color.WHITE
mapp,279,342,9,9,Color.WHITE
mapp,270,342,9,9,Color.WHITE
mapp,243,324,9,9,Color.WHITE
