# dx,dy,w,h,color_idx (0=WHITE 1=DARK_GRAY)
-1100,-400,50,50,0
-1150,-400,50,50,0
-1200,-400,50,50,0
-1250,-400,50,50,0
-1300,-400,50,50,0
-1350,-400,50,50,0
-1350,-350,50,50,0
-1350,-300,50,50,0
-1350,-250,50,50,0
-1350,-200,50,50,0
-1350,-150,50,50,0
-1350,-100,50,50,0
-1350,-50,50,50,0
-1350,0,50,50,0
-1350,50,50,50,0
-1350,100,50,50,0
-1350,150,50,50,0
-1300,150,50,50,0
-1250,150,50,50,0
-1200,150,50,50,0
-1150,150,50,50,0
-1100,150,50,50,0
-1050,150,50,50,0
-1050,100,50,50,0
-1050,50,50,50,0
-1050,0,50,50,0
-900,-50,50,50,0
-950,-50,50,50,0
-1050,-50,50,50,0
-900,-150,50,50,0
-950,-150,50,50,0
-1050,-150,50,50,0
-1100,-150,50,50,0
-1100,-50,50,50,0
-1150,-50,50,50,0
-1200,-50,50,50,0
-1200,-100,50,50,0
-1000,-250,50,50,0
-1050,-250,50,50,0
-1050,-200,50,50,0
-950,-350,50,50,0
-1100,-350,50,50,0
-1200,-350,50,50,0
-1300,-200,50,50,0
-1250,-200,50,50,0
-1200,-200,50,50,0
-1200,-300,50,50,0
-1100,-250,50,50,0
-1200,50,50,50,0
-1250,-100,50,50,0
-900,-250,50,50,0
-700,800,50,50,0
-700,850,50,50,0
-700,900,50,50,0
-700,950,50,50,0
-700,1000,50,50,0
-700,1050,50,50,0
-700,1100,50,50,0
-700,1150,50,50,0
-650,1150,50,50,0
-600,1150,50,50,0
-550,1150,50,50,0
-500,1150,50,50,0
-450,1150,50,50,0
-400,1150,50,50,0
-300,1150,50,50,0
-250,1150,50,50,0
-200,1150,50,50,0
-150,1150,50,50,0
-100,1150,50,50,0
-50,1150,50,50,0
-50,1100,50,50,0
-50,1050,50,50,0
-50,1000,50,50,0
-50,950,50,50,0
-50,900,50,50,0
-50,850,50,50,0
-50,800,50,50,0
-400,1050,50,50,0
-300,1050,50,50,0
-350,950,50,50,0
-400,850,50,50,0
-300,850,50,50,0
-400,800,50,50,0
-300,800,50,50,0
-400,950,50,50,0
-450,950,50,50,0
-300,950,50,50,0
-250,950,50,50,0
-200,950,50,50,0
-150,950,50,50,0
-100,950,50,50,0
-500,950,50,50,0
-550,950,50,50,0
-600,950,50,50,0
-650,950,50,50,0
-400,1100,50,50,0
-300,1000,50,50,0
-350,800,50,50,0
-150,1100,50,50,0
-150,1050,50,50,0
-600,1000,50,50,0
-600,1050,50,50,0
-500,1050,50,50,0
-550,-450,50,50,0
-600,-450,50,50,0
-650,-450,50,50,0
-700,-450,50,50,0
-750,-450,50,50,0
-750,-500,50,50,0
-750,-550,50,50,0
-750,-650,50,50,0
-750,-700,50,50,0
-750,-750,50,50,0
-700,-750,50,50,0
-650,-750,50,50,0
-550,-750,50,50,0
-500,-750,50,50,0
-450,-750,50,50,0
-450,-700,50,50,0
-450,-650,50,50,0
-450,-600,50,50,0
-450,-500,50,50,0
-450,-450,50,50,0
-650,-650,50,50,0
-550,-650,50,50,0
-550,-550,50,50,0
-650,-550,50,50,0
-700,-550,50,50,0
-550,-500,50,50,0
-700,-650,50,50,0
-500,-450,50,50,0
-250,-850,50,50,0
-250,-900,50,50,0
-250,-950,50,50,0
-250,-1000,50,50,0
-200,-1000,50,50,0
-150,-1000,50,50,0
-100,-1000,50,50,0
-100,-950,50,50,0
-100,-900,50,50,0
-100,-850,50,50,0
-50,-1000,50,50,0
0,-1000,50,50,0
50,-1000,50,50,0
50,-950,50,50,0
50,-900,50,50,0
50,-850,50,50,0
100,-1000,50,50,0
150,-1000,50,50,0
200,-1000,50,50,0
200,-950,50,50,0
200,-900,50,50,0
200,-850,50,50,0
-300,-1000,50,50,0
-350,-1000,50,50,0
-400,-1000,50,50,0
-400,-950,50,50,0
-400,-900,50,50,0
-400,-850,50,50,0
-1050,250,50,50,0
-1050,300,50,50,0
-1050,350,50,50,0
-1050,400,50,50,0
-1050,500,50,50,0
-1050,450,50,50,0
-1050,550,50,50,0
-1050,600,50,50,0
-1050,650,50,50,0
-1150,650,50,50,0
-1150,600,50,50,0
-1150,550,50,50,0
-1150,500,50,50,0
-1150,450,50,50,0
-1150,400,50,50,0
-1150,350,50,50,0
-1150,300,50,50,0
-1150,250,50,50,0
-1150,200,50,50,0
-1050,700,50,50,0
-1150,700,50,50,0
-1150,750,50,50,0
-1150,750,50,50,0
-1150,800,50,50,0
-1100,800,50,50,0
-1050,800,50,50,0
-1000,800,50,50,0
-950,800,50,50,0
-1000,700,50,50,0
-950,700,50,50,0
-900,700,50,50,0
-850,700,50,50,0
-800,700,50,50,0
-800,750,50,50,0
-800,800,50,50,0
-900,800,50,50,0
-750,800,50,50,0
-950,850,50,50,0
-950,900,50,50,0
-950,950,50,50,0
-900,950,50,50,0
-850,950,50,50,0
-800,950,50,50,0
-800,900,50,50,0
-800,850,50,50,0
-950,100,50,50,0
600,550,50,50,0
600,500,50,50,0
600,450,50,50,0
600,400,50,50,0
600,350,50,50,0
600,300,50,50,0
600,250,50,50,0
600,200,50,50,0
650,200,50,50,0
700,200,50,50,0
750,200,50,50,0
850,200,50,50,0
900,200,50,50,0
1000,200,50,50,0
950,200,50,50,0
1050,200,50,50,0
1050,250,50,50,0
1050,350,50,50,0
1050,300,50,50,0
1050,400,50,50,0
1050,450,50,50,0
1050,500,50,50,0
1050,550,50,50,0
1050,600,50,50,0
1000,600,50,50,0
950,600,50,50,0
900,600,50,50,0
850,600,50,50,0
800,600,50,50,0
750,600,50,50,0
700,600,50,50,0
650,600,50,50,0
600,600,50,50,0
700,500,50,50,0
750,500,50,50,0
800,500,50,50,0
850,500,50,50,0
900,500,50,50,0
950,500,50,50,0
950,400,50,50,0
900,400,50,50,0
850,400,50,50,0
800,400,50,50,0
750,400,50,50,0
700,400,50,50,0
650,400,50,50,0
850,250,50,50,0
850,300,50,50,0
800,300,50,50,0
750,300,50,50,0
700,300,50,50,0
950,350,50,50,0
950,300,50,50,0
1000,500,50,50,0
-900,-550,50,50,0
-900,-600,50,50,0
-900,-650,50,50,0
-850,-650,50,50,0
-800,-650,50,50,0
-800,-750,50,50,0
-850,-750,50,50,0
-900,-750,50,50,0
-950,-750,50,50,0
-1000,-750,50,50,0
-1050,-750,50,50,0
-1100,-750,50,50,0
-1150,-750,50,50,0
-1200,-750,50,50,0
-1250,-750,50,50,0
-1300,-750,50,50,0
-1350,-750,50,50,0
-1350,-700,50,50,0
-1350,-650,50,50,0
-1350,-600,50,50,0
-1350,-550,50,50,0
-1350,-500,50,50,0
-1350,-450,50,50,0
-1200,-450,50,50,0
-1200,-500,50,50,0
-1200,-550,50,50,0
-1100,-450,50,50,0
-1100,-500,50,50,0
-1100,-550,50,50,0
-1000,-450,50,50,0
-1000,-500,50,50,0
-1000,-550,50,50,0
-950,-650,50,50,0
-1000,-650,50,50,0
-1100,-650,50,50,0
-1150,-650,50,50,0
-1250,-650,50,50,0
-1300,-650,50,50,0
-1300,-500,50,50,0
50,650,50,50,0
100,650,50,50,0
150,650,50,50,0
200,650,50,50,0
250,650,50,50,0
300,650,50,50,0
400,650,50,50,0
350,650,50,50,0
450,650,50,50,0
500,650,50,50,0
500,700,50,50,0
550,700,50,50,0
600,700,50,50,0
650,700,50,50,0
650,750,50,50,0
650,800,50,50,0
650,850,50,50,0
650,900,50,50,0
650,950,50,50,0
650,1000,50,50,0
650,1050,50,50,0
600,1050,50,50,0
550,1050,50,50,0
500,1050,50,50,0
450,1050,50,50,0
350,1050,50,50,0
300,1050,50,50,0
250,1050,50,50,0
200,1050,50,50,0
150,1050,50,50,0
100,1050,50,50,0
50,1050,50,50,0
50,1000,50,50,0
50,950,50,50,0
50,900,50,50,0
50,850,50,50,0
50,800,50,50,0
50,750,50,50,0
50,700,50,50,0
150,750,50,50,0
200,750,50,50,0
200,700,50,50,0
150,850,50,50,0
150,900,50,50,0
150,950,50,50,0
200,900,50,50,0
250,900,50,50,0
250,850,50,50,0
350,1000,50,50,0
350,950,50,50,0
250,1000,50,50,0
350,850,50,50,0
350,800,50,50,0
350,800,50,50,0
350,750,50,50,0
250,750,50,50,0
450,800,50,50,0
450,900,50,50,0
500,800,50,50,0
550,800,50,50,0
550,850,50,50,0
550,900,50,50,0
500,900,50,50,0
500,1000,50,50,0
50,1150,50,50,0
50,1200,50,50,0
50,1250,50,50,0
50,1300,50,50,0
50,1400,50,50,0
50,1350,50,50,0
550,1150,50,50,0
550,1200,50,50,0
550,1250,50,50,0
550,1300,50,50,0
550,1350,50,50,0
550,1400,50,50,0
100,1150,50,50,0
150,1150,50,50,0
200,1150,50,50,0
250,1150,50,50,0
300,1150,50,50,0
350,1150,50,50,0
400,1150,50,50,0
450,1150,50,50,0
450,1250,50,50,0
450,1300,50,50,0
450,1350,50,50,0
350,1200,50,50,0
350,1250,50,50,0
350,1300,50,50,0
350,1350,50,50,0
250,1400,50,50,0
250,1350,50,50,0
150,1300,50,50,0
150,1250,50,50,0
150,1200,50,50,0
150,1400,50,50,0
250,1250,50,50,0
200,1250,50,50,0
750,1050,50,50,0
750,1100,50,50,0
750,1150,50,50,0
750,1200,50,50,0
750,1250,50,50,0
750,1300,50,50,0
750,1350,50,50,0
750,1400,50,50,0
700,1000,50,50,0
750,1000,50,50,0
800,1000,50,50,0
850,1000,50,50,0
900,1000,50,50,0
950,1000,50,50,0
1000,1000,50,50,0
1000,1050,50,50,0
1000,1100,50,50,0
1000,1200,50,50,0
1000,1250,50,50,0
1000,1300,50,50,0
1000,1400,50,50,0
850,1250,50,50,0
850,1200,50,50,0
850,1150,50,50,0
900,1150,50,50,0
950,1300,50,50,0
900,1300,50,50,0
850,1300,50,50,0
900,1400,50,50,0
800,1300,50,50,0
850,1400,50,50,0
850,1050,50,50,0
900,1050,50,50,0
750,700,50,50,0
800,700,50,50,0
850,700,50,50,0
750,800,50,50,0
800,800,50,50,0
850,800,50,50,0
750,900,50,50,0
800,900,50,50,0
850,900,50,50,0
950,900,50,50,0
1000,900,50,50,0
1050,900,50,50,0
950,800,50,50,0
1000,800,50,50,0
1050,800,50,50,0
950,700,50,50,0
1000,700,50,50,0
1050,700,50,50,0
1150,600,50,50,0
1150,550,50,50,0
1150,500,50,50,0
1150,700,50,50,0
1150,750,50,50,0
1150,800,50,50,0
1150,900,50,50,0
1150,950,50,50,0
1150,1000,50,50,0
1250,1000,50,50,0
1250,950,50,50,0
1250,900,50,50,0
1250,800,50,50,0
1250,750,50,50,0
1250,700,50,50,0
1250,600,50,50,0
1250,550,50,50,0
1250,500,50,50,0
1350,500,50,50,0
1350,550,50,50,0
1350,600,50,50,0
1350,700,50,50,0
1350,750,50,50,0
1350,800,50,50,0
1350,900,50,50,0
1350,900,50,50,0
1350,950,50,50,0
1350,1000,50,50,0
1250,350,50,50,0
1250,400,50,50,0
1250,300,50,50,0
1200,350,50,50,0
1300,350,50,50,0
1100,200,50,50,0
1150,200,50,50,0
1150,150,50,50,0
1200,200,50,50,0
1150,250,50,50,0
1350,250,50,50,0
1350,200,50,50,0
1300,200,50,50,0
1400,200,50,50,0
1350,150,50,50,0
1400,350,50,50,0
1450,350,50,50,0
1450,300,50,50,0
1500,350,50,50,0
1450,400,50,50,0
1100,350,50,50,0
1150,450,50,50,0
1350,450,50,50,0
1350,-100,50,50,0
1400,-100,50,50,0
1450,-100,50,50,0
1500,-100,50,50,0
1500,-150,50,50,0
1500,-200,50,50,0
1500,-250,50,50,0
1500,-300,50,50,0
1450,-300,50,50,0
1400,-300,50,50,0
1350,-300,50,50,0
1350,-400,50,50,0
1400,-400,50,50,0
1450,-400,50,50,0
1500,-400,50,50,0
1550,-400,50,50,0
1600,-400,50,50,0
1600,-350,50,50,0
1600,-300,50,50,0
1600,-250,50,50,0
1600,-200,50,50,0
1600,-150,50,50,0
1600,-100,50,50,0
1600,-50,50,50,0
1600,0,50,50,0
1550,0,50,50,0
1500,0,50,50,0
1450,0,50,50,0
1400,0,50,50,0
1400,-200,50,50,0
1350,-200,50,50,0
-500,-850,50,50,0
-500,-900,50,50,0
-550,-900,50,50,0
-550,-950,50,50,0
-600,-950,50,50,0
-600,-1000,50,50,0
-650,-1000,50,50,0
-650,-1050,50,50,0
-700,-1050,50,50,0
-700,-1100,50,50,0
-750,-1100,50,50,0
-750,-1150,50,50,0
-800,-1100,50,50,0
-800,-1050,50,50,0
-850,-1050,50,50,0
-850,-1000,50,50,0
-900,-1000,50,50,0
-900,-950,50,50,0
-950,-950,50,50,0
-950,-900,50,50,0
-1000,-900,50,50,0
-1000,-850,50,50,0
-850,-850,50,50,0
-800,-850,50,50,0
-800,-900,50,50,0
-750,-900,50,50,0
-750,-950,50,50,0
-700,-900,50,50,0
-700,-850,50,50,0
-650,-850,50,50,0
-650,-800,50,50,0
-1000,-800,50,50,0
-900,-1150,50,50,0
-950,-1150,50,50,0
-950,-1100,50,50,0
-1000,-1100,50,50,0
-1000,-1050,50,50,0
-1050,-1050,50,50,0
-1050,-1000,50,50,0
-1100,-1000,50,50,0
-1100,-950,50,50,0
-1100,-900,50,50,0
-1100,-850,50,50,0
-450,-1000,50,50,0
-450,-1050,50,50,0
-500,-1050,50,50,0
-500,-1100,50,50,0
-550,-1100,50,50,0
-50,1200,50,50,0
-50,1250,50,50,0
-100,1250,50,50,0
-150,1250,50,50,0
-200,1250,50,50,0
-250,1250,50,50,0
-300,1250,50,50,0
-350,1250,50,50,0
-450,1250,50,50,0
-500,1250,50,50,0
-550,1250,50,50,0
-600,1250,50,50,0
-650,1250,50,50,0
-700,1250,50,50,0
-700,1350,50,50,0
-650,1350,50,50,0
-600,1350,50,50,0
-550,1350,50,50,0
-500,1350,50,50,0
-450,1350,50,50,0
-400,1350,50,50,0
-350,1350,50,50,0
-300,1350,50,50,0
-250,1350,50,50,0
-150,1350,50,50,0
-200,1350,50,50,0
-100,1350,50,50,0
-50,1350,50,50,0
-700,1300,50,50,0
-800,1050,50,50,0
-850,1050,50,50,0
-900,1050,50,50,0
-950,1050,50,50,0
-1000,1050,50,50,0
-1050,1050,50,50,0
-1050,1100,50,50,0
-800,1100,50,50,0
-800,1150,50,50,0
-800,1200,50,50,0
-800,1250,50,50,0
-800,1300,50,50,0
-850,1300,50,50,0
-900,1300,50,50,0
-950,1300,50,50,0
-1000,1300,50,50,0
-1050,1300,50,50,0
-1050,1250,50,50,0
-1050,1200,50,50,0
-1050,1150,50,50,0
-950,1250,50,50,0
-950,1200,50,50,0
-950,1100,50,50,0
-850,1200,50,50,0
-1150,900,50,50,0
-1250,900,50,50,0
-1200,900,50,50,0
-1200,1000,50,50,0
-1250,1000,50,50,0
-1300,1000,50,50,0
-1300,1100,50,50,0
-1250,1100,50,50,0
-1400,1100,50,50,0
-1450,1100,50,50,0
-1400,1000,50,50,0
-1450,1000,50,50,0
-1500,1000,50,50,0
-1450,900,50,50,0
-1500,900,50,50,0
-1600,900,50,50,0
-1650,900,50,50,0
-1600,1000,50,50,0
-1650,1000,50,50,0
-1700,1000,50,50,0
-1600,1100,50,50,0
-1650,1100,50,50,0
-1550,900,50,50,0
-1100,900,50,50,0
-1050,900,50,50,0
-1150,1000,50,50,0
-1300,1150,50,50,0
-1400,1200,50,50,0
-1300,1200,50,50,0
-1300,1250,50,50,0
-1300,1300,50,50,0
-1350,1300,50,50,0
-1400,1300,50,50,0
-1450,1300,50,50,0
-1450,1200,50,50,0
-1500,1200,50,50,0
-1550,1200,50,50,0
-1600,1150,50,50,0
-1600,1200,50,50,0
-1500,1100,50,50,0
-1500,1300,50,50,0
-1600,1300,50,50,0
-1550,1300,50,50,0
-1650,1300,50,50,0
-1700,1300,50,50,0
-1700,1250,50,50,0
-1700,1200,50,50,0
-1700,1100,50,50,0
-1750,1100,50,50,0
-1800,1100,50,50,0
-1800,1050,50,50,0
-1800,1000,50,50,0
-1550,1000,50,50,0
-1400,900,50,50,0
-1300,900,50,50,0
-1700,900,50,50,0
-1750,900,50,50,0
-1800,900,50,50,0
-1850,900,50,50,0
-1900,900,50,50,0
-1900,950,50,50,0
-1900,1000,50,50,0
-1900,1050,50,50,0
-1900,1100,50,50,0
-1750,1200,50,50,0
-1800,1200,50,50,0
-1850,1200,50,50,0
-1900,1200,50,50,0
-1250,800,50,50,0
-1250,750,50,50,0
-1250,700,50,50,0
-1250,650,50,50,0
-1250,600,50,50,0
-1300,600,50,50,0
-1400,600,50,50,0
-1350,600,50,50,0
-1400,650,50,50,0
-1400,700,50,50,0
-1350,700,50,50,0
-1300,800,50,50,0
-1350,800,50,50,0
-1400,800,50,50,0
-1500,800,50,50,0
-1550,800,50,50,0
-1600,800,50,50,0
-1650,800,50,50,0
-1650,750,50,50,0
-1650,700,50,50,0
-1650,650,50,50,0
-1650,600,50,50,0
-1600,600,50,50,0
-1550,600,50,50,0
-1500,650,50,50,0
-1500,700,50,50,0
-1550,700,50,50,0
-1500,600,50,50,0
-1400,500,50,50,0
-1350,500,50,50,0
-1300,500,50,50,0
-1250,500,50,50,0
-1250,450,50,50,0
-1250,400,50,50,0
-1250,350,50,50,0
-1250,300,50,50,0
-1300,300,50,50,0
-1350,300,50,50,0
-1400,300,50,50,0
-1400,450,50,50,0
-1400,400,50,50,0
-1350,400,50,50,0
-1500,500,50,50,0
-1500,450,50,50,0
-1500,400,50,50,0
-1550,400,50,50,0
-1550,500,50,50,0
-1600,500,50,50,0
-1650,500,50,50,0
-1650,450,50,50,0
-1650,400,50,50,0
-1650,350,50,50,0
-1650,300,50,50,0
-1600,300,50,50,0
-1550,300,50,50,0
-1500,300,50,50,0
-1750,800,50,50,0
-1800,800,50,50,0
-1850,800,50,50,0
-1900,800,50,50,0
-1950,800,50,50,0
-2050,800,50,50,0
-2100,800,50,50,0
-2150,800,50,50,0
-2200,800,50,50,0
-2250,800,50,50,0
-2250,750,50,50,0
-2250,700,50,50,0
-2250,650,50,50,0
-2200,650,50,50,0
-2100,650,50,50,0
-1900,650,50,50,0
-1800,650,50,50,0
-1750,650,50,50,0
-1750,700,50,50,0
-1750,750,50,50,0
-2100,600,50,50,0
-2100,550,50,50,0
-1900,600,50,50,0
-1900,550,50,50,0
-2200,550,50,50,0
-2250,550,50,50,0
-2250,450,50,50,0
-2250,500,50,50,0
-2200,450,50,50,0
-2150,450,50,50,0
-2100,450,50,50,0
-2050,450,50,50,0
-2000,450,50,50,0
-2000,500,50,50,0
-2000,550,50,50,0
-1950,450,50,50,0
-1900,450,50,50,0
-1850,450,50,50,0
-1800,450,50,50,0
-1750,450,50,50,0
-1750,500,50,50,0
-1750,550,50,50,0
-1800,550,50,50,0
-2000,650,50,50,0
-2000,700,50,50,0
-2200,1400,50,50,0
-2200,1350,50,50,0
-2250,1350,50,50,0
-2100,1400,50,50,0
-2050,1400,50,50,0
-1850,1300,50,50,0
-1900,1300,50,50,0
-1950,1300,50,50,0
-1950,1350,50,50,0
-1950,1400,50,50,0
-1850,1400,50,50,0
-1800,1300,50,50,0
-2050,900,50,50,0
-2100,950,50,50,0
-2100,900,50,50,0
-2050,1050,50,50,0
-2050,1100,50,50,0
-2100,1100,50,50,0
-2200,1100,50,50,0
-2200,1050,50,50,0
-2250,1050,50,50,0
-2250,900,50,50,0
-2250,950,50,50,0
-2200,950,50,50,0
-2250,1200,50,50,0
-2250,1250,50,50,0
-2200,1250,50,50,0
-2100,1250,50,50,0
-2100,1200,50,50,0
-2050,1200,50,50,0
-2050,1350,50,50,0
-2350,900,50,50,0
-2300,900,50,50,0
-2250,900,50,50,0
-2200,900,50,50,0
-2150,900,50,50,0
-2100,900,50,50,0
-2050,900,50,50,0
-2050,1050,50,50,0
-2100,1050,50,50,0
-2150,1050,50,50,0
-2200,1050,50,50,0
